True,Predicted,Predicted_prob
375024,375023,0.4496465072060375
275443,275443,0.6249836427058422
264297,264717,0.27064364685607367
175844,175890,0.33602392709350065
175907,175907,1.0
275154,275154,0.9186007685453218
346082,346075,0.37018089034621293
232787,232787,0.7777636003934474
275126,275126,0.8348975012130034
314125,314125,0.9848876283012339
101927,101927,0.863018689783475
346072,346072,0.8078788149328194
101921,101921,0.3790700927971092
201596,201596,0.5889509579499344
146905,146905,0.3521375045827486
275125,275125,0.5342178197176741
375024,346063,0.40834734830387004
275443,275479,0.24805401563610524
235990,235990,0.34801926442887754
234911,233914,0.43007687636901903
200278,200625,0.428971606645827
232435,232435,1.0
275367,275367,0.7132101084145092
235511,235511,0.99
264809,264399,0.2862064744240079
200438,200438,0.9733781811870047
275154,275127,0.6459848484848486
200336,200336,1.0
375957,375957,0.46171896678643615
160478,160478,0.09520911952392601
232767,232767,0.6008189432635289
375957,375957,0.9718757575757574
275128,275125,0.678102157473781
275389,275369,0.1699606522414653
375022,375958,0.9979166666666666
200623,200623,0.9665254322013043
364265,364265,0.6801301488585192
201261,201261,0.631985827151482
275128,275125,0.678102157473781
264717,264717,0.17867915669661616
264138,264298,0.5294359533507074
131183,131560,0.723417897462015
178125,178125,0.7775165406704742
200625,200625,0.5281261163995727
275367,275367,0.7516804466069015
216664,216664,0.9905207390648566
200594,200594,0.989090909090909
375851,375957,0.850640639508961
200592,200542,0.17421342140517357
200024,200017,0.25
232901,232901,1.0
200126,200126,0.8750674603174603
200594,200594,0.8295881452318461
364251,364251,0.440343214479405
275122,275128,0.14561146383909837
278535,278535,0.5071823820938047
278512,200532,0.8324146082056764
215317,215317,0.7170393418462588
264724,264724,0.24553660834093272
275138,275138,0.664271873756644
175907,175907,1.0
275125,275125,0.5342178197176741
375955,375955,0.35587892499657203
201479,201379,0.3866641905862731
232901,232901,0.9516782831782649
200017,200017,0.9928571428571428
200334,200334,0.9369525960186164
275512,275512,0.9939583333333333
375031,375031,0.9097471324930005
101927,101927,0.913513949013949
378105,378105,0.8202290844690223
215312,215312,0.7235991122167594
275478,275478,0.8852888623647999
303457,303457,0.33726190476190476
232726,232726,0.9238015042116419
232901,232901,0.4529330512031832
275367,275367,0.741894313486801
215312,215612,0.8153862433862433
200511,200511,0.9612519049903793
264714,264717,0.30475873277952065
